CPUID Family_Model,Stepping,Code Name(s) / Microarchitecture(s),CPUID,MCU Update,Indirect Branch Predictor Delayed Updates - CVE-2024-45332 - INTEL-SA-01247,Indirect Target Selection (IBPB) - CVE-2024-28956 - INTEL-SA-01153,Indirect Target Selection (Guest-Host) - CVE-2024-28956 - INTEL-SA-01153,Indirect Target Selection cBPF - CVE-2024-28956 - INTEL-SA-01153,Machine Check Error Avoidance Derivative - CVE-2024-31068 - INTEL-SA-01166,Sub-Page Permission - CVE-2024-36242 - INTEL-SA-01196,Running Average Power Limit Derivative (RAPL) - CVE-2024-23984 - INTEL SA-01103,Machine Check Error Avoidance Derivative - CVE-2024-25939 - INTEL-SA-01118,Register File Data Sampling (RFDS) (Floating Point/Integer / Single Instruction/Multiple Data) - CVE-2023-28746 - INTEL-SA-00898,Trusted Execution Configuration Register Access - CVE-2023-22655 - INTEL-SA-00960,Incomplete Branch Prediction Barrier - CVE-2023-38575 - INTEL-SA-00982,Bus Lock Regulator - CVE-2023-39368 - INTEL-SA-00972,Redundant Prefix Issue (Reptar) - CVE-2023-23583 - INTEL-SA-00950,Gather Data Sampling (GDS) - CVE-2022-40982 - INTEL-SA-00828,Post-barrier Return Stack Buffer Predictions - CVE-2022-26373 - INTEL-SA-00706,Stale Data Read from Legacy xAPIC - CVE-2022-21233 CVE-2022-38090 - INTEL-SA-00657 -Intel-SA-00767,Return Stack Buffer Underflow (RSBU) RSB Alternate Behavior (RSBA) - CVE-2022-29901 - INTEL-SA-00702,Return Stack Buffer Underflow (RSBU) Restricted RSB Alternate Behavior (RRSBA) - CVE-2022-28693 - INTEL-SA-00707,MMIO: Device Register Partial Write (DRPW) - CVE-2022-21166 - INTEL-SA-00615,MMIO: Shared Buffers Data Sampling (SBDS) - CVE-2022-21125 - INTEL-SA-00615 - Shared Buffers Data Read (SBDR) - CVE-2022-21123 - INTEL-SA-00615,Undefined MMIO Hang (UMH) - CVE-2022-2118 - INTEL-SA-00645,Branch History Injection (BHI) - CVE-2022-0001 - INTEL-SA-00598,Intra-Mode BTI - CVE-2022-0002 - INTEL-SA-00598,Fast Store Forwarding Predictor: Cross Domain - CVE-2021-0145 - INTEL-SA-00561,Missing Page Fault - CVE-2021-33120 - INTEL-SA-00589,Speculative Code Store Bypass (SCSB) - CVE-2021-0089 - INTEL-SA-00516,Floating Point Value Injection (FPVI) - CVE-2021-0086 - INTEL-SA-00516,IBRS Guest/Host - CVE-2020-24511 - INTEL-SA-00464,Influence of Trivial Data Value in Cache Policy - CVE-2020-24512 - INTEL-SA-00464,Atom Processor Domain ByPass - CVE-2020-24513 - INTEL-SA-00465,Running Average Power Limit (RAPL/Platypus) - CVE-2020-8695 INTEL-SA-00389,Fast Store Forwarding Predictor: Cross Thread - CVE-2020-8698 INTEL-SA-00381,Special Register Buffer Data Sampling - CVE-2020-0543 - INTEL-SA-00320 - SRBDS Update - CVE-2022-21127 - INTEL-SA-00666,Snoop-assisted L1D Sampling - CVE-2020-0550 - INTEL-SA-00330,Load Value Injection: Zero Data - CVE-2020-0551 - INTEL-SA-00334,Load Value Injection: Stale Data - CVE-2020-0551 - INTEL-SA-00334,L1D Eviction Sampling - CVE-2020-0549 - INTEL-SA-00329,Vector Register Sampling Active - CVE-2020-8696 - INTEL-SA-00381,Vector Register Sampling - CVE-2020-0548 - INTEL-SA-00329,Machine Check Error Avoidance - CVE-2018-12207 - INTEL-SA-00210,TSX Asynchronous Abort (TAA) - CVE-2019-11135 - INTEL-SA-00270,SWAPGS - CVE-2019-1125,Microarchitectural Load Port Data Sampling (Zombieload/RIDL/Fallout) - CVE-2018-12127 - INTEL-SA-00233,Microarchitectural Store Buffer Data Sampling (Zombieload/RIDL/Fallout) - CVE-2018-12126 - INTEL-SA-00233,Microarchitectural Fill Buffer Data Sampling (Zombieload/RIDL/Fallout) - CVE-2018-12130 - INTEL-SA-00233,L1 Terminal Fault (L1TF/Foreshadow) - CVE-2018-3615 - CVE-2018-3620 - CVE-2018-3646 - INTEL-SA-00161,Speculative Store Bypass (Spectre v4) - CVE-2018-3639 - INTEL-SA-00115,Rogue System Register Read (Spectre v3a):RDMSR - CVE-2018-3640 - INTEL-SA-00115,Rogue Data Cache Load (Meltdown) - CVE-2017-5754 - INTEL-SA-00088,Branch Target Injection (Spectre v2) - CVE-2017-5715 - INTEL-SA-00088,Bounds Check Bypass (Spectre v1) - CVE-2017-5753 - INTEL-SA-00088
06_8FH,5 - 6 - 7 - 8,1. Sapphire Rapids - 2. Sapphire Rapids Edge Enhanced (Golden Cove),806F5 - 806F6 - 806F7 - 806F8,0x2b000639,MCU,Not Affected,Not Affected,Not Affected,MCU,Software,MCU,Not Affected,Not Affected,BIOS+MCU,MCU,MCU,MCU,Not Affected,Software,Hardware+Software,Not Affected,Hardware+Software,Not Affected,Not Affected,Not Affected,Hardware+Software,Hardware+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_8FH,8,Sapphire Rapids (Golden Cove) - Sapphire Rapids HBM,806F8,0x2c0003f7,MCU,Not Affected,Not Affected,Not Affected,MCU,Software,MCU,Not Affected,Not Affected,BIOS+MCU,MCU,MCU,Not Affected,Not Affected,Software,Hardware+Software,Not Affected,Hardware+Software,Not Affected,Not Affected,Not Affected,Hardware+Software,Hardware+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_96H,All,Elkhart Lake (Tremont),90660 - 90661,0x1A,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU+Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,MCU+Software,Not Affected,Not Affected,Software,Software,Not Affected,MCU,Software,Software,Not Affected,Not Affected,MCU,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_97H,2,Alder Lake S (Golden Cove - Gracemont),90672,0x3a,MCU,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,MCU+Software,Not Affected,MCU,MCU,MCU,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU+Software,MCU+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_97H,5,Alder Lake S (Golden Cove - Gracemont),90675,0x3a,MCU,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,MCU+Software,Not Affected,MCU,MCU,MCU,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU+Software,MCU+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_97H,5,Catlow (Golden Cove),90675,0x3a,MCU,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU,MCU,MCU,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU+Software,MCU+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_9AH,3,1. Alder Lake H (Golden Cove - Gracemont) - 2. Alder Lake P (Golden Cove - Gracemont),906A3,0x437,MCU,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,MCU+Software,Not Affected,MCU,MCU,MCU,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU+Software,MCU+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_9AH,4,Alder Lake U (Golden Cove - Gracemont),906A4,0x437,MCU,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,MCU+Software,Not Affected,MCU,MCU,MCU,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU+Software,MCU+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_9AH,4,Arizona Beach (Gracemont),906A4,0x0a,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU+Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Hardware+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_9CH,All,Jasper Lake (Tremont),906C0,0x24000026,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU+Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,MCU+Software,Not Affected,Not Affected,Software,Software,Not Affected,MCU,Software,Software,Not Affected,Not Affected,MCU,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_9EH,9,1. Kaby Lake S - 2. Kaby Lake H - 3. Kaby Lake G - 4. Kaby Lake X - 5. Kaby Lake Xeon E3,906E9,0xf8,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Software,Not Affected,MCU+Software,MCU+Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Software,Software,Not Affected,MCU,Not Affected,MCU,Not Affected,MCU+Software,Not Affected,Software,Software,MCU,MCU+Software,MCU+Software,Software,MCU+Software,Software,MCU+Software,MCU+Software,MCU+Software,MCU+Software,MCU+Software,MCU,Software,MCU+Software,Software
06_9EH,A,1. Coffee Lake H - 2. Coffee Lake S Xeon E - 3. Coffee Lake S x/KBP - 4. Coffee Lake S,906EA,0xfa,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Software,Not Affected,MCU+Software,MCU+Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Software,Software,Not Affected,MCU,Not Affected,MCU,Not Affected,MCU+Software,Not Affected,Software,Software,MCU,MCU+Software,MCU+Software,Software,MCU+Software,Software,MCU+Software,MCU+Software,MCU+Software,MCU+Software,MCU+Software,MCU,Software,MCU+Software,Software
06_9EH,B,Coffee Lake S,906EB,0xf6,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Software,Not Affected,MCU+Software,MCU+Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Software,Software,Not Affected,MCU,Not Affected,MCU,Not Affected,MCU+Software,Not Affected,Software,Software,MCU,MCU+Software,MCU+Software,Software,MCU+Software,Software,MCU+Software,MCU+Software,MCU+Software,MCU+Software,MCU+Software,MCU,Software,MCU+Software,Software
06_9EH,C,Coffee Lake S,906EC,0xf8,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU,Software,Not Affected,Software,Not Affected,MCU+Software,MCU+Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Software,Software,Not Affected,MCU,Not Affected,MCU,Not Affected,MCU+Software,Not Affected,Software,Software,MCU,MCU+Software,MCU+Software,Software,MCU+Software,Software,MCU+Software,MCU+Software,MCU+Software,Not Affected,Hardware+Software,MCU,Not Affected,MCU+Software,Software
06_9EH,D,1. Coffee Lake H - 2. Coffee Lake Xeon E - 3. Coffee Lake S,906ED,0x104,MCU,MCU,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU,Software,Not Affected,Not Affected,Software,MCU+Software,MCU+Software,Software,Software,Software,Not Affected,Not Affected,Software,Software,MCU,MCU,Not Affected,MCU,Not Affected,MCU+Software,Not Affected,Software,Software,MCU,MCU+Software,MCU+Software,Software,MCU+Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,MCU,Not Affected,Hardware+Software,Software
06_A5H,2,Comet Lake H,A0652,0x100,MCU,MCU,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU,Software,Not Affected,Not Affected,Software,MCU+Software,MCU+Software,Software,Software,Software,Not Affected,Not Affected,Software,Software,MCU,MCU,Not Affected,MCU,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,MCU,Not Affected,Hardware+Software,Software
06_A5H,3,Comet Lake-S,A0653,0x100,MCU,MCU,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU,Software,Not Affected,Not Affected,Software,MCU+Software,MCU+Software,Software,Software,Software,Not Affected,Not Affected,Software,Software,MCU,MCU,Not Affected,MCU,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,MCU,Not Affected,Hardware+Software,Software
06_A5H,5,Comet Lake-S,A0655,0x100,MCU,MCU,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU,Software,Not Affected,Not Affected,Software,MCU+Software,MCU+Software,Software,Software,Software,Not Affected,Not Affected,Software,Software,MCU,MCU,Not Affected,MCU,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,MCU,Not Affected,Hardware+Software,Software
06_A6H,0,Comet Lake U62,A0660,0x102,MCU,MCU,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU,Software,Not Affected,Not Affected,Software,MCU+Software,MCU+Software,Software,Software,Software,Not Affected,Not Affected,Software,Software,MCU,MCU,Not Affected,MCU,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,MCU,Not Affected,Hardware+Software,Software
06_A6H,1,Comet Lake U62,A0661,0x100,MCU,MCU,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU,Software,Not Affected,Not Affected,Software,MCU+Software,MCU+Software,Software,Software,Software,Not Affected,Not Affected,Software,Software,MCU,MCU,Not Affected,MCU,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,MCU,Not Affected,Hardware+Software,Software
06_A7H,1,Rocket Lake,A0671,0x64,MCU,MCU,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU,MCU,Software,Software,Not Affected,Not Affected,MCU+Software,Not Affected,Software,Software,Software,MCU,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_AAH,1,Meteor Lake (Redwood - Cresmont),A06A4,0x24,MCU,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Not Affected,Hardware+Software,Hardware+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_ADH,0 - 1,Granite Rapids (Redwood Cove),A06D0 - A06D1,NA,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Not Affected,Hardware+Software,Hardware+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_AFH,3,Sierra Forest (Crestmont),A06F3,0x3000330,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Not Affected,Hardware+Software,Hardware+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_B5H,0,Arrow Lake U (Redwood Cove - Crestmont),B0650,0x8,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Not Affected,Hardware+Software,Hardware+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_B6H,4,Grand Ridge (Crestmont),B0664,0x2e,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Not Affected,Hardware+Software,Hardware+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_B7H,1,Raptor Lake S (Raptor Cove/Gracemont),B0671,0x12f,MCU,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,MCU+Software,Not Affected,MCU,MCU,Not Affected,Not Affected,Software,Software,Not Affected,Hardware+Software,Not Affected,Not Affected,Not Affected,Hardware+Software,Hardware+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_B7H,1,Catlow (Raptor Cove),B0671,0x12f,MCU,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,Software,Software,Not Affected,Hardware+Software,Not Affected,Not Affected,Not Affected,Hardware+Software,Hardware+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_BAH,2 - 3,Raptor Lake (Raptor Cove/Gracemont),B06A2 - B06A3,0x4128,MCU,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,MCU+Software,Not Affected,MCU,Not Affected,MCU,Not Affected,Software,Software,Not Affected,Hardware+Software,Not Affected,Not Affected,Not Affected,Hardware+Software,Hardware+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_BDH,1,Lunar Lake (Lion Cove - Skymont),B06D1,0x11b,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Software,Software,Not Affected,Hardware+Software,Not Affected,Not Affected,Not Affected,Hardware+Software,Hardware+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_BEH,0,Alder Lake-N,B06E0,0x1d,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU+Software,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Hardware+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_BFH,2 - 5,Raptor Lake (Raptor Cove/Gracemont),B06F2 - B06F5,0x3a,MCU,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,MCU+Software,Not Affected,MCU,MCU,MCU,Not Affected,Software,Software,Not Affected,Hardware+Software,Not Affected,Not Affected,Not Affected,Hardware+Software,Hardware+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_C5H,2,Arrow Lake H (Lion Cove - Skymont),C0652,0x116,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Software,Not Affected,Hardware+Software,Not Affected,Not Affected,Not Affected,Hardware+Software,Hardware+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_C6H,2,Arrow Lake S (Lion Cove - Skymont),C0662,0x116,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Software,Not Affected,Hardware+Software,Not Affected,Not Affected,Not Affected,Hardware+Software,Hardware+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_C6H,4,Arrow Lake HX (Lion Cove - Skymont),C0664,0x116,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Software,Not Affected,Hardware+Software,Not Affected,Not Affected,Not Affected,Hardware+Software,Hardware+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_CFH,2,Emerald Rapids,C06F2,0x210002a9,MCU,Not Affected,Not Affected,Not Affected,MCU,Software,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Hardware+Software,Not Affected,Hardware+Software,Not Affected,Not Affected,Not Affected,Hardware+Software,Hardware+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
